WiktionaryCode	iso-639-3	Canonical name	Family	Scripts	Lang Package Python
gin	gin	Hinukh	West Tsezian	Cyrl	Hinukh
gip	gip	Gimi (Austronesian)	Western Oceanic		Gimi (West New Britain)
giq	giq	Green Gelao	Gelao		Green Gelao
gir	gir	Red Gelao	Gelao		Red Gelao
gis	gis	North Giziga	Central Chadic		North Giziga
git	git	Gitxsan	Tsimshianic		Gitxsan
giu	giu	Mulao	Gelao		Mulao
giw	giw	White Gelao	Gelao		White Gelao
gix	gix	Gilima	Mbaka	Latn	Gilima
giy	giy	Giyug			Giyug
giz	giz	South Giziga	Central Chadic		South Giziga
gjk	gjk	Kachi Koli	Western Indo-Aryan		Kachi Koli
gjm	gjm	Gunditjmara	Pama-Nyungan		Gunditjmara
gjn	gjn	Gonja	Guang	Latn	Gonja
gju	gju	Gojri	Western Indo-Aryan	ur-Arab, Deva, Takr	Gujari
gka	gka	Guya	Finisterre	Latn	Guya
gkd	gkd	Magɨ	Madang	Latn	Magɨ (Madang Province)
gke	gke	Ndai	Mbum		Ndai
gkn	gkn	Gokana	Ogoni	Latn	Gokana
gko	gko	Kok-Nar	Paman	Latn	Kok-Nar
gkp	gkp	Guinea Kpelle	Southwestern Mande		Guinea Kpelle
glc	glc	Bon Gula	Bua		Bon Gula
gld	gld	Nanai	Tungusic	Cyrl	Nanai
glh	glh	Northwest Pashayi	Dardic		Northwest Pashai
glj	glj	Kulaal	Bua		Gula Iro
glk	glk	Gilaki	Caspian	fa-Arab	Gilaki
glo	glo	Galambu	West Chadic	Latn	Galambu
glr	glr	Glaro-Twabo	Wee		Glaro-Twabo
glu	glu	Gula	Bagirmi		Gula (Chad)
glw	glw	Glavda	Central Chadic	Latn	Glavda
gly	gly	Gule	Koman		Gule
gma	gma	Gambera	Worrorran		Gambera
gmb	gmb	Gula'alaa	Southeast Solomonic	Latn	Gula'alaa
gmd	gmd	Mághdì	Bikwin-Jen		Mághdì
gmg	gmg	Magiyi	Madang	Latn	Magɨyi
gmh	gmh	Middle High German	West Germanic	Latn	Middle High German (ca. 1050-1500)
gml	gml	Middle Low German	West Germanic	Latn	Middle Low German
gmm	gmm	Gbaya-Mbodomo	Eastern Gbaya	Latn	Gbaya-Mbodomo
gmn	gmn	Gimnime	Duru		Gimnime
gmu	gmu	Gumalu	Madang		Gumalu
gmv	gmv	Gamo	North Ometo	Latn, Ethi	Gamo
gmx	gmx	Magoma	Bena-Kinga		Magoma
gmy	gmy	Mycenaean Greek	Hellenic	Linb	Mycenaean Greek
gmz	gmz	Mgbo	Igboid		Mgbolizhia
gna	gna	Kaansa	Gur		Kaansa
gnb	gnb	Gangte	Kukish		Gangte
gnc	gnc	Guanche	Berber		Guanche
gnd	gnd	Zulgo-Gemzek	Central Chadic	Latn	Zulgo-Gemzek
gne	gne	Ganang	Central Plateau		Ganang
gng	gng	Ngangam	Gurma		Ngangam
gnh	gnh	Lere	Jera		Lere
gni	gni	Gooniyandi	Bunuban	Latn	Gooniyandi
gnj	gnj	Ngen	Nwa-Beng	Latn	Ngen
gnk	gnk	ǁGana	Kalahari Khoe		ǁGana
gnl	gnl	Gangulu	Pama-Nyungan		Gangulu
gnm	gnm	Ginuman	Trans-New Guinea		Ginuman
gnn	gnn	Gumatj	Yolngu	Latn	Gumatj
gnq	gnq	Gana	Sabahan		Gana
gnr	gnr	Gureng Gureng	Pama-Nyungan		Gureng Gureng
gnt	gnt	Guntai	Papuan		Guntai
gnu	gnu	Gnau	Torricelli		Gnau
gnw	gnw	Western Bolivian Guaraní	Tupi-Guarani	Latn	Western Bolivian Guaraní
gnz	gnz	Ganzi	Baka	Latn	Ganzi
goa	goa	Guro	Mano-Dan	Latn	Guro
gob	gob	Playero	Guahiban		Playero
goc	goc	Gorakor	Western Oceanic	Latn	Gorakor
god	god	Godié	Bété		Godié
goe	goe	Gongduk	Sino-Tibetan		Gongduk
gof	gof	Gofa	North Ometo	Latn, Ethi	Gofa
