WiktionaryCode	iso-639-3	Canonical name	Family	Scripts	Lang Package Python
aa	aar	Afar	East Cushitic	Latn	Afar
ab	abk	Abkhaz	Abkhaz-Abaza	Cyrl, Geor, Latn	Abkhazian
ae	ave	Avestan	Central Iranian	Avst, Gujr	Avestan
af	afr	Afrikaans	West Germanic	Latn, Arab	Afrikaans
ak	aka	Akan	Central Tano	Latn	Akan
am	amh	Amharic	Ethiopian Semitic	Ethi	Amharic
an	arg	Aragonese	West Iberian	Latn	Aragonese
ar	ara	Arabic	Arabic	Arab, Hebr, Brai	Arabic
as	asm	Assamese	Eastern Indo-Aryan	as-Beng	Assamese
av	ava	Avar	Avaro-Andian	Cyrl, Latn, Arab	Avaric
ay	aym	Aymara	Aymaran	Latn	Aymara
az	aze	Azerbaijani	Oghuz	Latn, Cyrl, fa-Arab	Azerbaijani
ba	bak	Bashkir	Kipchak-Bulgar	Cyrl	Bashkir
be	bel	Belarusian	East Slavic	Cyrl, Latn	Belarusian
bg	bul	Bulgarian	South Slavic	Cyrl	Bulgarian
bi	bis	Bislama	creole or pidgin	Latn	Bislama
bm	bam	Bambara	East Manding	Latn	Bambara
bn	ben	Bengali	Eastern Indo-Aryan	Beng, Newa	Bengali
bo	bod	Tibetan	Tibetic	Tibt	Tibetan
br	bre	Breton	Brythonic	Latn	Breton
ca	cat	Catalan	Occitano-Romance	Latn	Catalan
ce	che	Chechen	Vainakh	Cyrl, Latn, Arab	Chechen
ch	cha	Chamorro	Sunda-Sulawesi	Latn	Chamorro
co	cos	Corsican	Italo-Dalmatian	Latn	Corsican
cr	cre	Cree	Algonquian	Cans, Latn	Cree
cs	ces	Czech	West Slavic	Latn	Czech
cu	chu	Old Church Slavonic	South Slavic	Cyrs, Glag	Church Slavic
cv	chv	Chuvash	Oghur	Cyrl	Chuvash
cy	cym	Welsh	Brythonic	Latn	Welsh
da	dan	Danish	North Germanic	Latn	Danish
de	deu	German	West Germanic	Latn, Latf	German
dv	div	Dhivehi	Insular Indo-Aryan	Thaa, Diak	Dhivehi
dz	dzo	Dzongkha	Tibetic	Tibt	Dzongkha
ee	ewe	Ewe	Gbe	Latn	Ewe
el	ell	Greek	Hellenic	Grek, Brai	Modern Greek (1453-)
en	eng	English	West Germanic	Latn, Brai, Shaw, Dsrt	English
eo	epo	Esperanto	constructed	Latn	Esperanto
es	spa	Spanish	West Iberian	Latn, Brai	Spanish
et	est	Estonian	Finnic	Latn	Estonian
eu	eus	Basque	Vasconic	Latn	Basque
fa	fas	Persian	Southwestern Iranian	fa-Arab	Persian
ff	ful	Fula	Fula-Wolof	Latn, Adlm	Fulah
fi	fin	Finnish	Finnic	Latn	Finnish
fj	fij	Fijian	Central-Eastern Oceanic	Latn	Fijian
fo	fao	Faroese	North Germanic	Latn	Faroese
fr	fra	French	Oïl	Latn, Brai	French
fy	fry	West Frisian	Frisian	Latn	Western Frisian
ga	gle	Irish	Goidelic	Latn, Latg	Irish
gd	gla	Scottish Gaelic	Goidelic	Latn, Latg	Scottish Gaelic
gl	glg	Galician	West Iberian	Latn	Galician
gn	grn	Guaraní	Tupi-Guarani	Latn	Guarani
gu	guj	Gujarati	Western Indo-Aryan	Gujr	Gujarati
gv	glv	Manx	Goidelic	Latn	Manx
ha	hau	Hausa	West Chadic	Latn, Arab	Hausa
he	heb	Hebrew	Canaanite	Hebr, Phnx, Brai	Hebrew
hi	hin	Hindi	Hindustani	Deva, Kthi, Newa	Hindi
ho	hmo	Hiri Motu	creole or pidgin	Latn	Hiri Motu
ht	hat	Haitian Creole	creole or pidgin	Latn	Haitian
hu	hun	Hungarian	Ugric	Latn, Hung	Hungarian
hy	hye	Armenian	Armenian	Armn, Brai	Armenian
hz	her	Herero	Southwest Bantu	Latn	Herero
ia	ina	Interlingua	constructed	Latn	Interlingua (International Auxiliary Language Association)
id	ind	Indonesian	Malayic	Latn	Indonesian
ie	ile	Interlingue	constructed	Latn	Interlingue
ig	ibo	Igbo	Igboid	Latn	Igbo
ii	iii	Sichuan Yi	Loloish	Yiii	Sichuan Yi
ik	ipk	Inupiaq	Inuit	Latn	Inupiaq
io	ido	Ido	constructed	Latn	Ido
is	isl	Icelandic	North Germanic	Latn	Icelandic
it	ita	Italian	Italo-Dalmatian	Latn	Italian
iu	iku	Inuktitut	Inuit	Cans, Latn	Inuktitut
ja	jpn	Japanese	Japonic	Jpan, Brai	Japanese
jv	jav	Javanese	Sunda-Sulawesi	Latn, Java	Javanese
ka	kat	Georgian	Georgian-Zan	Geor, Geok, Hebr	Georgian
kg	kon	Kongo	Kongo	Latn	Kongo
ki	kik	Kikuyu	Kikuyu-Kamba	Latn	Kikuyu
kj	kua	Kwanyama	Ovambo	Latn	Kuanyama
kk	kaz	Kazakh	Kipchak-Nogai	Cyrl, Latn, kk-Arab	Kazakh
kl	kal	Greenlandic	Inuit	Latn	Kalaallisut
km	khm	Khmer	Khmeric	Khmr	Khmer
kn	kan	Kannada	Dravidian	Knda	Kannada
ko	kor	Korean	Koreanic	Kore, Brai	Korean
kr	kau	Kanuri	Saharan	Latn, Arab	Kanuri
ks	kas	Kashmiri	Dardic	ks-Arab, Deva, Shrd, Latn	Kashmiri
kw	cor	Cornish	Brythonic	Latn	Cornish
ky	kir	Kyrgyz	Kipchak	Cyrl, Latn, Arab	Kirghiz
la	lat	Latin	Italic	Latn, Ital	Latin
lb	ltz	Luxembourgish	West Germanic	Latn	Luxembourgish
lg	lug	Luganda	Nyoro-Ganda	Latn	Ganda
li	lim	Limburgish	West Germanic	Latn	Limburgan
ln	lin	Lingala	Bangi-Moi	Latn	Lingala
lo	lao	Lao	Southwestern Tai	Laoo	Lao
lt	lit	Lithuanian	Baltic	Latn	Lithuanian
lu	lub	Luba-Katanga	Luba	Latn	Luba-Katanga
lv	lav	Latvian	Baltic	Latn	Latvian
mg	mlg	Malagasy	East Barito	Latn	Malagasy
mh	mah	Marshallese	Micronesian	Latn	Marshallese
mi	mri	Maori	Eastern Polynesian	Latn	Maori
mk	mkd	Macedonian	South Slavic	Cyrl	Macedonian
ml	mal	Malayalam	Dravidian	Mlym	Malayalam
mn	mon	Mongolian	Mongolic	Cyrl, Mong, Latn	Mongolian
mr	mar	Marathi	Southern Indo-Aryan	Deva, Modi	Marathi
ms	msa	Malay	Malayic	Latn, ms-Arab	Malay (macrolanguage)
mt	mlt	Maltese	Arabic	Latn	Maltese
my	mya	Burmese	Burmish	Mymr	Burmese
na	nau	Nauruan	Micronesian	Latn	Nauru
nb	nob	Norwegian Bokmål	North Germanic	Latn	Norwegian Bokmål
nd	nde	Northern Ndebele	Nguni	Latn	North Ndebele
ne	nep	Nepali	Pahari	Deva, Newa	Nepali (macrolanguage)
ng	ndo	Ndonga	Ovambo	Latn	Ndonga
nl	nld	Dutch	West Germanic	Latn	Dutch
nn	nno	Norwegian Nynorsk	North Germanic	Latn	Norwegian Nynorsk
no	nor	Norwegian	North Germanic	Latn	Norwegian
nr	nbl	Southern Ndebele	Nguni	Latn	South Ndebele
nv	nav	Navajo	Apachean	Latn	Navajo
ny	nya	Chichewa	Nyasa	Latn	Nyanja
oc	oci	Occitan	Occitano-Romance	Latn, Hebr	Occitan (post 1500)
oj	oji	Ojibwe	Algonquian	Cans, Latn	Ojibwa
om	orm	Oromo	East Cushitic	Latn, Ethi	Oromo
or	ori	Oriya	Eastern Indo-Aryan	Orya	Oriya (macrolanguage)
os	oss	Ossetian	Scythian	Cyrl, Geor, Latn	Ossetian
pa	pan	Punjabi	Punjabi-Lahnda	Guru, pa-Arab	Panjabi
pi	pli	Pali	Middle Indo-Aryan	Latn, Brah, Deva, Beng, Sinh, Mymr, Thai, Lana, Laoo, Khmr, Cakm	Pali
pl	pol	Polish	Lechitic	Latn	Polish
ps	pus	Pashto	Pathan	ps-Arab	Pushto
pt	por	Portuguese	West Iberian	Latn, Brai	Portuguese
qu	que	Quechua	Quechuan	Latn	Quechua
rm	roh	Romansch	Rhaeto-Romance	Latn	Romansh
ro	ron	Romanian	Eastern Romance	Latn, Cyrl	Romanian
ru	rus	Russian	East Slavic	Cyrl, Cyrs, Brai	Russian
rw	kin	Rwanda-Rundi	Great Lakes Bantu	Latn	Kinyarwanda
sa	san	Sanskrit	Old Indo-Aryan	Deva, Bali, as-Beng, Beng, Bhks, Brah, Gran, Gujr, Guru, Hani, Java, Kawi, Khar, Khmr, Knda, Lana, Laoo, Marc, Mlym, Modi, Mong, mnc-Mong, xwo-Mong, Mymr, Nand, Newa, Orya, Phag, Ranj, Saur, Shrd, Sidd, Sinh, Taml, Tang, Telu, Thai, Tibt, Tirh	Sanskrit
sc	srd	Sardinian	Romance	Latn	Sardinian
sd	snd	Sindhi	Sindhi	sd-Arab, Deva, Sind, Khoj	Sindhi
se	sme	Northern Sami	Sami	Latn	Northern Sami
sg	sag	Sango	creole or pidgin	Latn	Sango
sh	hbs	Serbo-Croatian	South Slavic	Latn, Cyrl, Glag	Serbo-Croatian
si	sin	Sinhalese	Insular Indo-Aryan	Sinh	Sinhala
sk	slk	Slovak	West Slavic	Latn	Slovak
sl	slv	Slovene	South Slavic	Latn	Slovenian
sm	smo	Samoan	Nuclear Polynesian	Latn	Samoan
sn	sna	Shona	Shona	Latn	Shona
so	som	Somali	East Cushitic	Latn, Arab, Osma	Somali
sq	sqi	Albanian	Albanian	Latn, Grek, Elba	Albanian
ss	ssw	Swazi	Nguni	Latn	Swati
st	sot	Sotho	Sotho-Tswana	Latn	Southern Sotho
su	sun	Sundanese	Malayo-Sumbawan	Latn, Sund	Sundanese
sv	swe	Swedish	North Germanic	Latn	Swedish
sw	swa	Swahili	Swahili	Latn, Arab	Swahili (macrolanguage)
ta	tam	Tamil	Dravidian	Taml	Tamil
te	tel	Telugu	Dravidian	Telu	Telugu
tg	tgk	Tajik	Southwestern Iranian	Cyrl, fa-Arab, Latn	Tajik
th	tha	Thai	Southwestern Tai	Thai, Brai	Thai
ti	tir	Tigrinya	Ethiopian Semitic	Ethi	Tigrinya
tk	tuk	Turkmen	Oghuz	Latn, Cyrl, Arab	Turkmen
tl	tgl	Tagalog	Philippine	Latn, Tglg	Tagalog
tn	tsn	Tswana	Sotho-Tswana	Latn	Tswana
to	ton	Tongan	Polynesian	Latn	Tonga (Tonga Islands)
tr	tur	Turkish	Oghuz	Latn	Turkish
ts	tso	Tsonga	Tswa-Ronga	Latn	Tsonga
tt	tat	Tatar	Kipchak-Bulgar	Cyrl, Latn, tt-Arab	Tatar
ty	tah	Tahitian	Eastern Polynesian	Latn	Tahitian
ug	uig	Uyghur	Karluk	ug-Arab, Latn, Cyrl	Uighur
uk	ukr	Ukrainian	East Slavic	Cyrl	Ukrainian
ur	urd	Urdu	Hindustani	ur-Arab	Urdu
uz	uzb	Uzbek	Karluk	Latn, Cyrl, fa-Arab	Uzbek
ve	ven	Venda	Southern Bantu	Latn	Venda
vi	vie	Vietnamese	Vietic	Latn, Hani	Vietnamese
vo	vol	Volapük	constructed	Latn	Volapük
wa	wln	Walloon	Oïl	Latn	Walloon
wo	wol	Wolof	Fula-Wolof	Latn, Arab	Wolof
xh	xho	Xhosa	Nguni	Latn	Xhosa
yi	yid	Yiddish	West Germanic	Hebr	Yiddish
yo	yor	Yoruba	Yoruboid	Latn, Arab	Yoruba
za	zha	Zhuang	Tai	Latn, Hani	Zhuang
zh	zho	Chinese	Sinitic	Hani, Hant, Hans, Latn, Bopo, Nshu, Brai	Chinese
zu	zul	Zulu	Nguni	Latn	Zulu
aaa	aaa	Ghotuo	Yekhee	Latn	Ghotuo
aab	aab	Alumu-Tesu	Alumic	Latn	Alumu-Tesu
aac	aac	Ari	Papuan Gulf	Latn	Ari
aad	aad	Amal	Iwam	Latn	Amal
aaf	aaf	Aranadan	Dravidian	Mlym	Aranadan
aag	aag	Ambrak	Torricelli	Latn	Ambrak
aah	aah	Abu' Arapesh	Torricelli	Latn	Abu' Arapesh
aai	aai	Arifama-Miniafia	Western Oceanic	Latn	Arifama-Miniafia
aak	aak	Ankave	Trans-New Guinea	Latn	Ankave
aal	aal	Afade	Central Chadic	Latn	Afade
aan	aan	Anambé	Tupi-Guarani	Latn	Anambé
aap	aap	Pará Arára	Pekodian	Latn	Pará Arára
aaq	aaq	Penobscot	Abenaki-Penobscot	Latn	Eastern Abnaki
aas	aas	Aasax	South Cushitic	Latn	Aasáx
aau	aau	Abau	Sepik	Latn	Abau
aaw	aaw	Solong	Western Oceanic	Latn	Solong
aax	aax	Mandobo Atas	Trans-New Guinea	Latn	Mandobo Atas
aaz	aaz	Amarasi	Timoric	Latn	Amarasi
aba	aba	Abé	Lagoon	Latn	Abé
abb	abb	Bankon	Basaa	Latn	Bankon
abc	abc	Ambala Ayta	Philippine	Latn	Ambala Ayta
abd	abd	Camarines Norte Agta	Philippine	Latn	Manide
abe	abe	Abenaki	Abenaki-Penobscot	Latn	Western Abnaki
abf	abf	Abai Sungai	Sabahan	Latn	Abai Sungai
abg	abg	Abaga	Kainantu-Goroka	Latn	Abaga
abh	abh	Tajiki Arabic	Arabic	Arab	Tajiki Arabic
abi	abi	Abidji	Lagoon	Latn	Abidji
abj	abj	Aka-Bea	Southern Great Andamanese	Latn	Aka-Bea
abl	abl	Abung	Lampungic	Latn	Lampung Nyo
abm	abm	Abanyom	Ekoid	Latn	Abanyom
abn	abn	Abua	Central Delta	Latn	Abua
abo	abo	Abon	Northern Tivoid	Latn	Abon
abp	abp	Abenlen Ayta	Philippine	Latn	Abellen Ayta
abq	abq	Abaza	Abkhaz-Abaza	Cyrl, Latn	Abaza
abr	abr	Abron	Central Tano	Latn	Abron
abs	abs	Ambonese Malay	creole or pidgin	Latn	Ambonese Malay
abt	abt	Ambulas	Sepik	Latn	Ambulas
abu	abu	Abure	Potou-Tano	Latn	Abure
abv	abv	Baharna Arabic	Arabic	Arab	Baharna Arabic
abw	abw	Pal	Madang	Latn	Pal
abx	abx	Inabaknon	Sama-Bajaw	Latn	Inabaknon
aby	aby	Aneme Wake	Trans-New Guinea	Latn	Aneme Wake
abz	abz	Abui	Timor-Alor-Pantar	Latn	Abui
aca	aca	Achagua	Arawakan	Latn	Achagua
acb	acb	Áncá	Momo	Latn	Áncá
acd	acd	Gikyode	Guang	Latn	Gikyode
ace	ace	Acehnese	Chamic	Latn, ms-Arab	Achinese
ach	ach	Acholi	Southern Luo	Latn	Acoli
aci	aci	Aka-Cari	Northern Great Andamanese	Latn	Aka-Cari
ack	ack	Aka-Kora	Northern Great Andamanese	Latn	Aka-Kora
acl	acl	Akar-Bale	Southern Great Andamanese	Latn	Akar-Bale
acm	acm	Iraqi Arabic	Arabic	Arab	Mesopotamian Arabic
acn	acn	Achang	Burmish	Latn	Achang
acp	acp	Eastern Acipa	Kamuku	Latn	Eastern Acipa
acr	acr	Achi	Mayan	Latn	Achi
acs	acs	Acroá	Central Jê	Latn	Acroá
acu	acu	Achuar	Jivaroan	Latn	Achuar-Shiwiar
acv	acv	Achumawi	Palaihnihan	Latn	Achumawi
acw	acw	Hijazi Arabic	Arabic	Arab	Hijazi Arabic
acx	acx	Omani Arabic	Arabic	Arab	Omani Arabic
acy	acy	Cypriot Arabic	Arabic	Latn, Arab	Cypriot Arabic
acz	acz	Acheron	Talodi	Latn	Acheron
ada	ada	Adangme	Ga-Dangme	Latn	Adangme
adb	adb	Adabe		Latn	Atauran
add	add	Dzodinka	Nkambe	Latn	Lidzonka
ade	ade	Adele	Na-Togo	Latn	Adele
adf	adf	Dhofari Arabic	Arabic	Arab	Dhofari Arabic
adg	adg	Andegerebinha	Pama-Nyungan	Latn	Andegerebinha
adh	adh	Adhola	Southern Luo	Latn	Adhola
adi	adi	Adi	Tani	Latn	Adi
adj	adj	Adioukrou	Lagoon	Latn	Adioukrou
adl	adl	Galo	Tani	Latn	Galo
adn	adn	Adang	Timor-Alor-Pantar	Latn	Adang
ado	ado	Abu	Ramu	Latn	Abu
adq	adq	Adangbe	Ga-Dangme	Latn	Adangbe
adr	adr	Adonara	Central-Eastern Malayo-Polynesian	Latn	Adonara
ads	ads	Adamorobe Sign Language	sign	Latn	Adamorobe Sign Language
adt	adt	Adnyamathanha	Southwest Pama-Nyungan	Latn	Adnyamathanha
adu	adu	Aduge	Northwestern Edoid	Latn	Aduge
adw	adw	Amondawa	Tupi-Guarani	Latn	Amundava
ady	ady	Adyghe	Circassian	Cyrl, Latn, Arab	Adyghe
adz	adz	Adzera	Western Oceanic	Latn	Adzera
aea	aea	Areba	Pama-Nyungan	Latn	Areba
aeb	aeb	Tunisian Arabic	Arabic	Arab	Tunisian Arabic
aed	aed	Argentine Sign Language	sign	Latn	Argentine Sign Language
aee	aee	Northeast Pashayi	Dardic	Latn	Northeast Pashai
aek	aek	Haeke	New Caledonian	Latn	Haeke
ael	ael	Ambele	Grassfields	Latn	Ambele
aem	aem	Arem	Vietic	Latn	Arem
aen	aen	Armenian Sign Language	sign		Armenian Sign Language
aeq	aeq	Aer	Western Indo-Aryan	Arab	Aer
aer	aer	Eastern Arrernte	Pama-Nyungan	Latn	Eastern Arrernte
aes	aes	Alsea		Latn	Alsea
aeu	aeu	Akeu	Loloish	Latn	Akeu
aew	aew	Ambakich	Ramu	Latn	Ambakich
aey	aey	Amele	Madang	Latn	Amele
aez	aez	Aeka	Trans-New Guinea	Latn	Aeka
afb	afb	Gulf Arabic	Arabic	Arab	Gulf Arabic
afd	afd	Andai	Arafundi	Latn	Andai
afe	afe	Putukwam	Bendi	Latn	Putukwam
afg	afg	Afghan Sign Language	sign		Afghan Sign Language
afh	afh	Afrihili	constructed	Latn	Afrihili
afi	afi	Akrukay	Ramu	Latn	Akrukay
afk	afk	Nanubae	Arafundi	Latn	Nanubae
afn	afn	Defaka	Niger-Congo	Latn	Defaka
afo	afo	Eloyi	Plateau	Latn	Eloyi
afp	afp	Tapei	Arafundi	Latn	Tapei
afs	afs	Afro-Seminole Creole	creole or pidgin	Latn	Afro-Seminole Creole
aft	aft	Afitti	Nyima	Latn	Afitti
afu	afu	Awutu	Guang	Latn	Awutu
afz	afz	Obokuitai	Lakes Plain	Latn	Obokuitai
aga	aga	Aguano		Latn	Aguano
agb	agb	Legbo	East-West Upper Cross River	Latn	Legbo
agc	agc	Agatu	Idomoid	Latn	Agatu
agd	agd	Agarabi	Kainantu-Goroka	Latn	Agarabi
age	age	Angal	Engan	Latn	Angal
agf	agf	Arguni	Central-Eastern Malayo-Polynesian	Latn	Arguni
agg	agg	Angor	Papuan	Latn	Angor
agh	agh	Ngelima	Bati-Angba	Latn	Ngelima
agi	agi	Agariya	Munda	Deva	Agariya
agj	agj	Argobba	Ethiopian Semitic	Ethi	Argobba
agk	agk	Isarog Agta	Philippine	Latn	Isarog Agta
agl	agl	Fembe	Trans-New Guinea	Latn	Fembe
agm	agm	Angaataha	Trans-New Guinea	Latn	Angaataha
agn	agn	Agutaynen	Kalamian	Latn	Agutaynen
ago	ago	Tainae	Trans-New Guinea	Latn	Tainae
agq	agq	Aghem	Western Ring	Latn	Aghem
agr	agr	Aguaruna	Jivaroan	Latn	Aguaruna
ags	ags	Esimbi	Southern Bantoid	Latn	Esimbi
agt	agt	Central Cagayan Agta	Philippine	Latn	Central Cagayan Agta
agu	agu	Aguacateca	Mayan	Latn	Aguacateco
agv	agv	Remontado Agta	Philippine	Latn	Remontado Dumagat
agw	agw	Kahua	Southeast Solomonic	Latn	Kahua
agx	agx	Aghul	Eastern Samur	Cyrl	Aghul
agy	agy	Southern Alta	Philippine	Latn	Southern Alta
agz	agz	Mount Iriga Agta	Philippine	Latn	Mt. Iriga Agta
aha	aha	Ahanta	Central Tano	Latn	Ahanta
ahb	ahb	Axamb	North-Central Vanuatu	Latn	Axamb
ahg	ahg	Qimant	Central Cushitic	Latn	Qimant
ahh	ahh	Aghu	Trans-New Guinea	Latn	Aghu
ahi	ahi	Tiagbamrin Aizi	Aizi	Latn	Tiagbamrin Aizi
ahk	ahk	Akha	Loloish	Latn, Mymr, Thai	Akha
ahl	ahl	Igo	Ka-Togo	Latn	Igo
ahm	ahm	Mobumrin Aizi	Aizi	Latn	Mobumrin Aizi
ahn	ahn	Àhàn	Ayere-Ahan	Latn	Àhàn
aho	aho	Ahom	Southwestern Tai	Ahom	Ahom
ahp	ahp	Aproumu Aizi	Kwa	Latn	Aproumu Aizi
ahr	ahr	Ahirani	Western Indo-Aryan	Deva	Ahirani
ahs	ahs	Ashe	Central Plateau	Latn	Ashe
aht	aht	Ahtna	North Athabaskan	Latn	Ahtena
aia	aia	Arosi	Southeast Solomonic	Latn	Arosi
aib	aib	Aynu	Karluk	Arab, Latn	Ainu (China)
aic	aic	Ainbai	Border	Latn	Ainbai
aid	aid	Alngith	Paman	Latn	Alngith
aie	aie	Amara	Western Oceanic	Latn	Amara
aif	aif	Agi	Torricelli	Latn	Agi
aig	aig	Antigua and Barbuda Creole English	creole or pidgin	Latn	Antigua and Barbuda Creole English
aih	aih	Ai-Cham	Kam-Sui	Latn, Hani	Ai-Cham
aii	aii	Assyrian Neo-Aramaic	Northeastern Neo-Aramaic	Syrc	Assyrian Neo-Aramaic
aij	aij	Lishanid Noshan	Northeastern Neo-Aramaic	Hebr	Lishanid Noshan
aik	aik	Ake	South Plateau	Latn	Ake
ail	ail	Aimele	Trans-New Guinea	Latn	Aimele
aim	aim	Aimol	Kukish	Latn, Beng	Aimol
ain	ain	Ainu	isolate	Kana, Latn, Cyrl	Ainu (Japan)
aio	aio	Aiton	Southwestern Tai	Mymr	Aiton
aip	aip	Burumakok	Ok	Latn	Burumakok
air	air	Airoran	Tor-Kwerba	Latn	Airoran
ait	ait	Arikem	Tupian	Latn	Arikem
aiw	aiw	Aari	Aroid	Latn	Aari
aix	aix	Aighon	Western Oceanic	Latn	Aighon
aiy	aiy	Ali	Eastern Gbaya	Latn	Ali
aja	aja	Aja	Birri-Kresh	Latn	Aja (South Sudan)
ajg	ajg	Adja	Gbe	Latn	Aja (Benin)
aji	aji	Ajië	New Caledonian	Latn	Ajië
ajn	ajn	Andajin	Worrorran	Latn	Andajin
ajp	ajp	South Levantine Arabic	Arabic	Arab	South Levantine Arabic
ajw	ajw	Ajawa	West Chadic	Latn	Ajawa
ajz	ajz	Amri Karbi	Kukish	Latn	Amri Karbi
akb	akb	Angkola Batak	Batak	Latn, Batk	Batak Angkola
akc	akc	Mpur	West Papuan	Latn	Mpur
akd	akd	Ukpet-Ehom	Upper Cross River	Latn	Ukpet-Ehom
ake	ake	Akawaio	Pemongan	Latn	Akawaio
akf	akf	Akpa	Idomoid	Latn	Akpa
akg	akg	Anakalangu	Central-Eastern Malayo-Polynesian	Latn	Anakalangu
akh	akh	Angal Heneng	Engan	Latn	Angal Heneng
aki	aki	Aiome	Papuan	Latn	Aiome
akj	akj	Jeru	Northern Great Andamanese	Latn, Deva	Aka-Jeru
akk	akk	Akkadian	East Semitic	Xsux, Latn	Akkadian
akl	akl	Aklanon	Philippine	Latn	Aklanon
akm	akm	Aka-Bo	Northern Great Andamanese	Latn	Aka-Bo
ako	ako	Akurio	Taranoan	Latn	Akurio
akp	akp	Siwu	Na-Togo	Latn	Siwu
akq	akq	Ak	Papuan	Latn	Ak
akr	akr	Araki	North-Central Vanuatu	Latn	Araki
aks	aks	Akaselem	Gurma	Latn	Akaselem
akt	akt	Akolet	Western Oceanic	Latn	Akolet
aku	aku	Akum	Yukubenic	Latn	Akum
akv	akv	Akhvakh	Andian	Cyrl	Akhvakh
akw	akw	Akwa	Mboshi	Latn	Akwa
akx	akx	Aka-Kede	Central Great Andamanese	Latn	Aka-Kede
aky	aky	Aka-Kol	Central Great Andamanese	Latn	Aka-Kol
akz	akz	Alabama	Muskogean	Latn	Alabama
ala	ala	Alago	Idomoid	Latn	Alago
alc	alc	Kawésqar	Alacalufan	Latn	Qawasqar
ald	ald	Alladian	Lagoon	Latn	Alladian
ale	ale	Aleut	Eskimo-Aleut	Latn	Aleut
alf	alf	Alege	Bendi	Latn	Alege
alh	alh	Alawa	Gunwinyguan	Latn	Alawa
ali	ali	Amaimon	Madang	Latn	Amaimon
alj	alj	Alangan	Philippine	Latn	Alangan
alk	alk	Alak	Mon-Khmer	Latn	Alak
all	all	Allar	Dravidian	Mlym	Allar
alm	alm	Amblong	North-Central Vanuatu	Latn	Amblong
alo	alo	Larike-Wakasihu	Central Maluku	Latn	Larike-Wakasihu
alp	alp	Alune	Central-Eastern Malayo-Polynesian	Latn	Alune
alq	alq	Algonquin	Algonquian	Latn	Algonquin
alr	alr	Alutor	Chukotko-Kamchatkan	Cyrl	Alutor
alt	alt	Southern Altai	Siberian Turkic	Cyrl	Southern Altai
alu	alu	'Are'are	Southeast Solomonic	Latn	'Are'are
alw	alw	Alaba	Highland East Cushitic	Latn	Alaba-K’abeena
alx	alx	Amol	Torricelli	Latn	Amol
aly	aly	Alyawarr	Pama-Nyungan	Latn	Alyawarr
alz	alz	Alur	Southern Luo	Latn	Alur
ama	ama	Amanayé	Tupi-Guarani	Latn	Amanayé
amb	amb	Ambo	Northern Tivoid	Latn	Ambo
amc	amc	Amahuaca	Panoan	Latn	Amahuaca
ame	ame	Yanesha'	Arawakan	Latn	Yanesha'
amf	amf	Hamer-Banna	Aroid	Latn	Hamer-Banna
amg	amg	Amurdag	Iwaidjan	Latn	Amurdak
ami	ami	Amis	Austronesian	Latn	Amis
amj	amj	Amdang	Fur	Latn	Amdang
amk	amk	Ambai	Halmahera-Cenderawasih	Latn	Ambai
aml	aml	War-Jaintia	Khasian	Latn	War-Jaintia
amm	amm	Ama	Left May	Latn	Ama (Papua New Guinea)
amn	amn	Amanab	Border	Latn	Amanab
amo	amo	Amo	East Kainji	Latn	Amo
amp	amp	Alamblak	Papuan	Latn	Alamblak
amq	amq	Amahai	Central Maluku	Latn	Amahai
amr	amr	Amarakaeri	Harákmbut	Latn	Amarakaeri
ams	ams	Southern Amami-Oshima	Ryukyuan	Jpan	Southern Amami-Oshima
amt	amt	Amto	Arai-Samaia	Latn	Amto
amu	amu	Guerrero Amuzgo	Oto-Manguean	Latn	Guerrero Amuzgo
amv	amv	Ambelau	Central Maluku	Latn	Ambelau
amw	amw	Western Neo-Aramaic	Western Aramaic	Armi, Syrc, Latn	Western Neo-Aramaic
amx	amx	Anmatyerre	Pama-Nyungan	Latn	Anmatyerre
amy	amy	Ami	Daly	Latn	Ami
amz	amz	Atampaya	Pama-Nyungan	Latn	Atampaya
ana	ana	Andaqui		Latn	Andaqui
anb	anb	Andoa	Zaparoan	Latn	Andoa
anc	anc	Ngas	West Chadic	Latn	Ngas
and	and	Ansus	Halmahera-Cenderawasih	Latn	Ansus
ane	ane	Xârâcùù	New Caledonian	Latn	Xârâcùù
anf	anf	Animere	Ka-Togo	Latn	Animere
ang	ang	Old English	West Germanic	Latinx, Runr	Old English (ca. 450-1100)
anh	anh	Nend	Madang	Latn	Nend
ani	ani	Andi	Andian	Cyrl	Andi
anj	anj	Anor	Papuan	Latn	Anor
ank	ank	Goemai	West Chadic	Latn	Goemai
anl	anl	Anu	Mruic	Latn	Anu-Hkongso Chin
anm	anm	Anal	Kukish	Latn	Anal
ann	ann	Obolo	Lower Cross River	Latn	Obolo
ano	ano	Andoque	isolate	Latn	Andoque
anp	anp	Angika	Eastern Indo-Aryan	Deva	Angika
anq	anq	Jarawa	Ongan	Latn	Jarawa (India)
anr	anr	Andh	Southern Indo-Aryan	Deva	Andh
ans	ans	Anserma	Chocoan	Latn	Anserma
ant	ant	Antakarinya	Southwest Pama-Nyungan	Latn	Antakarinya
anu	anu	Anuak	Northern Luo	Latn	Anuak
anv	anv	Denya	Mamfe	Latn	Denya
anw	anw	Anaang	Ibibio-Efik	Latn	Anaang
anx	anx	Andra-Hus	Admiralty Islands	Latn	Andra-Hus
any	any	Anyi	Central Tano	Latn	Anyin
